pl_name,hostname,tic_id,gaia_id,discoverymethod,disc_year,disc_locale,st_temp,st_log_luminosity_sun,st_log_temp
GJ 4276 b,GJ 4276,TIC 428238233,Gaia DR2 2200501793758177152,Radial Velocity,2019,Ground,3387,-1.706,0.938337039
K2-146 b,K2-146,TIC 175261852,Gaia DR2 661192902209491456,Transit,2018,Space,3385,-1.824,0.938268847
K2-146 c,K2-146,TIC 175261852,Gaia DR2 661192902209491456,Transit,2019,Space,3385,-1.824,0.938268847
GJ 273 b,GJ 273,TIC 318686860,,Radial Velocity,2017,Ground,3382,-2.056,0.938166483
GJ 273 c,GJ 273,TIC 318686860,,Radial Velocity,2017,Ground,3382,-2.056,0.938166483
LHS 1478 b,LHS 1478,TIC 396562848,Gaia DR2 549007291282705024,Transit,2021,Space,3381,-2.146,0.938132342
GJ 180 b,GJ 180,TIC 246902275,Gaia DR2 2979590513145784192,Radial Velocity,2014,Ground,3371,-1.886,0.937790371
GJ 180 c,GJ 180,TIC 246902275,Gaia DR2 2979590513145784192,Radial Velocity,2014,Ground,3371,-1.886,0.937790371
GJ 179 b,GJ 179,TIC 450102450,Gaia DR2 3288082758293022848,Radial Velocity,2009,Ground,3370,-1.796,0.937756118
GJ 3929 b,GJ 3929,TIC 188589164,Gaia DR2 1372215976327300480,Transit,2022,Space,3369,-1.937,0.937721855
LTT 3780 b,LTT 3780,TIC 36724087,Gaia DR2 3767281845873242112,Transit,2020,Space,3360,-1.777,0.937413029
LTT 3780 c,LTT 3780,TIC 36724087,Gaia DR2 3767281845873242112,Transit,2020,Space,3360,-1.777,0.937413029
GJ 436 b,GJ 436,TIC 138819293,Gaia DR2 4017860992519744384,Radial Velocity,2004,Ground,3350,-1.585,0.937068918
GJ 667 C b,GJ 667 C,TIC 154385809,Gaia DR2 5975663354131618304,Radial Velocity,2011,Ground,3350,-1.863,0.937068918
GJ 667 C c,GJ 667 C,TIC 154385809,Gaia DR2 5975663354131618304,Radial Velocity,2011,Ground,3350,-1.863,0.937068918
GJ 667 C e,GJ 667 C,TIC 154385809,Gaia DR2 5975663354131618304,Radial Velocity,2013,Ground,3350,-1.863,0.937068918
GJ 667 C f,GJ 667 C,TIC 154385809,Gaia DR2 5975663354131618304,Radial Velocity,2013,Ground,3350,-1.863,0.937068918
GJ 667 C g,GJ 667 C,TIC 154385809,Gaia DR2 5975663354131618304,Radial Velocity,2013,Ground,3350,-1.863,0.937068918
G 9-40 b,G 9-40,TIC 203214081,Gaia DR2 684992690384102528,Transit,2019,Space,3348,-1.971,0.936999973
GJ 3473 b,GJ 3473,TIC 452866790,Gaia DR2 3094290054327367168,Transit,2020,Space,3347,-1.824,0.936965484
GJ 3473 c,GJ 3473,TIC 452866790,Gaia DR2 3094290054327367168,Radial Velocity,2020,Ground,3347,-1.824,0.936965484
Wolf 1061 b,Wolf 1061,TIC 413948621,Gaia DR2 4330690742322011520,Radial Velocity,2015,Ground,3342,-1.991,0.936792889
Wolf 1061 c,Wolf 1061,TIC 413948621,Gaia DR2 4330690742322011520,Radial Velocity,2015,Ground,3342,-1.991,0.936792889
Wolf 1061 d,Wolf 1061,TIC 413948621,Gaia DR2 4330690742322011520,Radial Velocity,2015,Ground,3342,-1.991,0.936792889
K2-288 B b,K2-288 B,TIC 640381384,Gaia DR2 44838019756570112,Transit,2018,Space,3341,-1.93,0.936758338
GJ 486 b,GJ 486,TIC 390651552,Gaia DR2 3735000631158990976,Radial Velocity,2021,Ground,3340,-1.917,0.936723778
G 264-012 b,G 264-012,TIC 322391844,Gaia DR2 2222540228723911168,Radial Velocity,2021,Ground,3326,-1.972,0.936238842
G 264-012 c,G 264-012,TIC 322391844,Gaia DR2 2222540228723911168,Radial Velocity,2021,Ground,3326,-1.972,0.936238842
GJ 3779 b,GJ 3779,TIC 459826435,Gaia DR2 1446540213584440704,Radial Velocity,2018,Ground,3324,-2.062,0.936169399
GJ 422 b,GJ 422,TIC 450545735,Gaia DR2 5339892367683264384,Radial Velocity,2014,Ground,3323,-1.959,0.936134661
K2-315 b,K2-315,TIC 70298662,Gaia DR2 6255978483510095488,Transit,2020,Space,3300,-2.387,0.935332806
GJ 1148 b,GJ 1148,TIC 115869504,Gaia DR2 772430527947893632,Radial Velocity,2010,Ground,3287,-1.869,0.934877108
GJ 1148 c,GJ 1148,TIC 115869504,Gaia DR2 772430527947893632,Radial Velocity,2017,Ground,3287,-1.869,0.934877108
GJ 876 b,GJ 876,TIC 188580272,Gaia DR2 2603090003484152064,Radial Velocity,1998,Ground,3271,-1.893,0.934313768
GJ 876 c,GJ 876,TIC 188580272,Gaia DR2 2603090003484152064,Radial Velocity,2000,Ground,3271,-1.893,0.934313768
GJ 876 d,GJ 876,TIC 188580272,Gaia DR2 2603090003484152064,Radial Velocity,2005,Ground,3271,-1.893,0.934313768
GJ 876 e,GJ 876,TIC 188580272,Gaia DR2 2603090003484152064,Radial Velocity,2010,Ground,3271,-1.893,0.934313768
GJ 1132 b,GJ 1132,TIC 101955023,Gaia DR2 5413438219396893568,Transit,2015,Ground,3270,-2.359,0.934278467
GJ 1132 c,GJ 1132,TIC 101955023,Gaia DR2 5413438219396893568,Radial Velocity,2018,Ground,3270,-2.359,0.934278467
GJ 1214 b,GJ 1214,TIC 467929202,Gaia DR2 4393265392167891712,Transit,2009,Ground,3250,-2.337,0.933570187
GJ 1265 b,GJ 1265,TIC 471012766,Gaia DR2 6825822095663585536,Radial Velocity,2018,Ground,3236,-2.439,0.933071793
LHS 1140 c,LHS 1140,TIC 92226327,Gaia DR2 2371032916186181760,Transit,2018,Multiple Locales,3216,-2.356,0.932356048
TOI-540 b,TOI-540,TIC 200322593,Gaia DR2 4785886941312921344,Transit,2020,Space,3216,-2.461,0.932356048
TOI-237 b,TOI-237,TIC 305048087,Gaia DR2 2329387852426700800,Transit,2020,Space,3212,-2.387,0.932212365
Ross 128 b,Ross 128,TIC 325275315,Gaia DR2 3796072592206250624,Radial Velocity,2017,Ground,3192,-2.441,0.931491256
K2-25 b,K2-25,TIC 434226736,Gaia DR2 3311804515502788352,Transit,2015,Space,3180,-2.076,0.931056418
GJ 3323 b,GJ 3323,TIC 43605290,Gaia DR2 3187115498866675456,Radial Velocity,2017,Ground,3159,-2.569,0.930291489
GJ 3323 c,GJ 3323,TIC 43605290,Gaia DR2 3187115498866675456,Radial Velocity,2017,Ground,3159,-2.569,0.930291489
YZ Cet b,YZ Cet,TIC 610210976,Gaia DR2 2358524597030794112,Radial Velocity,2017,Ground,3151,-2.659,0.929998749
YZ Cet c,YZ Cet,TIC 610210976,Gaia DR2 2358524597030794112,Radial Velocity,2017,Ground,3151,-2.659,0.929998749
YZ Cet d,YZ Cet,TIC 610210976,Gaia DR2 2358524597030794112,Radial Velocity,2017,Ground,3151,-2.659,0.929998749
LHS 1140 b,LHS 1140,TIC 92226327,Gaia DR2 2371032916186181760,Transit,2017,Ground,3131,-2.526,0.929263635
CD Cet b,CD Cet,TIC 328465904,Gaia DR2 3179036008830848,Radial Velocity,2020,Ground,3130,-2.533,0.929226756
2M0437 b,2MASS J04372171+2651014,TIC 125843782,Gaia DR2 151499478104075008,Imaging,2021,Ground,3100,-1.164,0.928114876
TOI-2406 b,TOI-2406,TIC 212957629,Gaia DR2 2528453161326406016,Transit,2021,Space,3100,0.531,0.928114876
GJ 3512 b,GJ 3512,TIC 445064836,Gaia DR2 1040827088726734976,Radial Velocity,2019,Ground,3081,-2.804,0.927405107
2MASS J02192210-3925225 b,2MASS J02192210-3925225,TIC 77111651,Gaia DR2 4963614887043956096,Imaging,2015,Ground,3064,-2.23,0.92676633
Proxima Cen b,Proxima Cen,TIC 388857263,Gaia DR2 5853498713160606720,Radial Velocity,2016,Ground,3050,-2.81,0.926237611
LHS 3844 b,LHS 3844,TIC 410153553,Gaia DR2 6385548541499112448,Transit,2019,Space,3036,-2.565,0.92570646
GJ 682 b,GJ 682,TIC 16909043,Gaia DR2 5955305209191546112,Radial Velocity,2014,Ground,3028,-2.699,0.925401844
GJ 682 c,GJ 682,TIC 16909043,Gaia DR2 5955305209191546112,Radial Velocity,2014,Ground,3028,-2.699,0.925401844
LP 791-18 b,LP 791-18,TIC 181804752,Gaia DR2 3562427951852172288,Transit,2019,Space,2960,-2.697,0.922779637
LP 791-18 c,LP 791-18,TIC 181804752,Gaia DR2 3562427951852172288,Transit,2019,Space,2960,-2.697,0.922779637
GJ 1061 b,GJ 1061,TIC 79611981,Gaia DR2 4848140361962951552,Radial Velocity,2020,Ground,2953,-2.77,0.922506292
GJ 1061 c,GJ 1061,TIC 79611981,Gaia DR2 4848140361962951552,Radial Velocity,2020,Ground,2953,-2.77,0.922506292
GJ 1061 d,GJ 1061,TIC 79611981,Gaia DR2 4848140361962951552,Radial Velocity,2020,Ground,2953,-2.77,0.922506292
Teegarden's Star b,Teegarden's Star,TIC 257870150,Gaia DR2 35227046884571776,Radial Velocity,2019,Ground,2904,-3.137,0.920574536
Teegarden's Star c,Teegarden's Star,TIC 257870150,Gaia DR2 35227046884571776,Radial Velocity,2019,Ground,2904,-3.137,0.920574536
FU Tau b,FU Tau,TIC 58544613,Gaia DR2 149629483705467008,Imaging,2008,Space,2838,-0.699,0.917920413
2MASS J12073346-3932539 b,2MASS J12073346-3932539,TIC 102076870,Gaia DR2 3459372646830687104,Imaging,2004,Ground,2825,-2.561,0.917390361
USco CTIO 108 b,USco CTIO 108,TIC 48666170,Gaia DR2 6249068843209158784,Imaging,2008,Ground,2700,-1.95,0.91216552
VHS J125601.92-125723.9 b,VHS J125601.92-125723.9,TIC 2470992,,Imaging,2015,Ground,2620,-3.14,0.9086931
TRAPPIST-1 h,TRAPPIST-1,TIC 278892590,Gaia DR2 2635476908753563008,Transit,2017,Multiple Locales,2566,-3.257,0.906288747
TRAPPIST-1 b,TRAPPIST-1,TIC 278892590,Gaia DR2 2635476908753563008,Transit,2016,Ground,2559,-3.281,0.905973373
TRAPPIST-1 c,TRAPPIST-1,TIC 278892590,Gaia DR2 2635476908753563008,Transit,2016,Ground,2559,-3.281,0.905973373
TRAPPIST-1 d,TRAPPIST-1,TIC 278892590,Gaia DR2 2635476908753563008,Transit,2016,Ground,2559,-3.281,0.905973373
TRAPPIST-1 e,TRAPPIST-1,TIC 278892590,Gaia DR2 2635476908753563008,Transit,2017,Multiple Locales,2559,-3.281,0.905973373
TRAPPIST-1 f,TRAPPIST-1,TIC 278892590,Gaia DR2 2635476908753563008,Transit,2017,Multiple Locales,2559,-3.281,0.905973373
TRAPPIST-1 g,TRAPPIST-1,TIC 278892590,Gaia DR2 2635476908753563008,Transit,2017,Multiple Locales,2559,-3.281,0.905973373
Oph 11 b,Oph 11,TIC 392045047,Gaia DR2 6049407594709184256,Imaging,2006,Ground,2375,-2.77,0.89735865
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,TIC 175744063,,Imaging,2021,Space,2320,-2.85,0.894653645
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,TIC 301728657,Gaia DR2 1773355403397635968,Imaging,2009,Ground,2300,-3.48,0.893654078
