pl_name,hostname,tic_id,gaia_id,discoverymethod,disc_year,disc_locale,st_temp,st_log_luminosity_sun,st_log_temp
BD+03 2562 b,BD+03 2562,TIC 366659915,Gaia DR2 3895649725336884736,Radial Velocity,2017,Ground,4095,2.7,0.960251868
bet Cnc b,bet Cnc,TIC 458582777,Gaia DR2 3098404220677760512,Radial Velocity,2014,Ground,4092.1,2.9,0.96017008
HD 147379 b,HD 147379,TIC 230073581,Gaia DR2 1642641410934267008,Radial Velocity,2017,Ground,4090,-1.097,0.960110818
K2-148 b,K2-148,TIC 423358488,Gaia DR2 2536443724641751808,Transit,2018,Space,4079,-0.996,0.9597999
K2-148 c,K2-148,TIC 423358488,Gaia DR2 2536443724641751808,Transit,2018,Space,4079,-0.996,0.9597999
K2-148 d,K2-148,TIC 423358488,Gaia DR2 2536443724641751808,Transit,2018,Space,4079,-0.996,0.9597999
HD 4760 b,HD 4760,TIC 405337087,Gaia DR2 2556428551067486720,Radial Velocity,2021,Ground,4076,2.93,0.959714959
HATS-77 b,HATS-77,TIC 11561667,Gaia DR2 5466556141521710592,Transit,2021,Ground,4071,-0.992,0.959573251
HD 158996 b,HD 158996,TIC 288268410,Gaia DR2 1709691004385812864,Radial Velocity,2018,Ground,4069,3.015,0.959516519
Kepler-155 b,Kepler-155,TIC 298969755,Gaia DR2 2133351698066484096,Transit,2014,Space,4057,-1.21,0.959175542
Kepler-155 c,Kepler-155,TIC 298969755,Gaia DR2 2133351698066484096,Transit,2014,Space,4057,-1.21,0.959175542
HATS-76 b,HATS-76,TIC 170849515,Gaia DR2 4877426575724467456,Transit,2021,Ground,4016,-1.038,0.958002877
GJ 338 B b,GJ 338 B,TIC 251078597,Gaia DR2 1022456104850892928,Radial Velocity,2020,Ground,4005,-1.101,0.957686223
Kepler-235 b,Kepler-235,TIC 120765183,Gaia DR2 2100082125479729792,Transit,2014,Space,3996,-1.253,0.957426494
Kepler-235 c,Kepler-235,TIC 120765183,Gaia DR2 2100082125479729792,Transit,2014,Space,3996,-1.253,0.957426494
